id,source,target,src_sentence,tar_sentence,true_y,AMT_src_ratings,AMT_tar_ratings
1130677,yummy,good,"Creative , inspired , yummy cocktails .","Creative , inspired , good cocktails .",0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 5]","[2, 2, 2, 3, 3, 3, 3, 3, 3, 5]"
1130509,yummy,good,"Super yummy pizza , friendly staff and management !","Super good pizza , friendly staff and management !",0,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]","[2, 3, 3, 3, 3, 3, 4, 4, 4, 5]"
486526,yummy,tasty,Fresh meat/seafood with yummy sauce .,Fresh meat/seafood with tasty sauce .,0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 4]","[3, 3, 3, 3, 3, 3, 4, 4, 5, 5]"
486093,yummy,tasty,Some small complaints but I would certainly return for a yummy low key breakfast .,Some small complaints but I would certainly return for a tasty low key breakfast .,0,"[2, 2, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 2, 3, 3, 3, 4, 4, 4, 5]"
655436,fabulous,amazing,Fabulous fabulous fabulous !,Fabulous amazing amazing !,0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 2, 3, 3]"
655462,fabulous,amazing,I ordered the vegetarian breakfast and was not disappointed -- great portion and fabulous taste .,I ordered the vegetarian breakfast and was not disappointed -- great portion and amazing taste .,0,"[1, 2, 2, 2, 3, 3, 3, 3, 4, 4]","[1, 1, 2, 2, 2, 2, 3, 3, 3, 3]"
1502554,gorgeous,great,"Gorgeous , gorgeous , gorgeous !","Gorgeous , great , great !",0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 3, 4, 4]"
1502505,gorgeous,great,A very gorgeous hostess greeted us & told us to seat ourselves .,A very great hostess greeted us & told us to seat ourselves .,0,"[4, 4, 4, 5, 5, 5, 5, 5, 5]","[2, 2, 3, 3, 3, 4, 4, 4, 4, 5]"
1502583,gorgeous,great,We had lunch on the patio overlooking the gorgeous golf course on a perfect late winter Vegas day .,We had lunch on the patio overlooking the great golf course on a perfect late winter Vegas day .,0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","[2, 2, 2, 2, 3, 3, 4, 4, 4, 5]"
1650542,boyfriend,buddy,My boyfriend loved the chicken teriyaki roll and thought the soft shell crab roll was okay .,My buddy loved the chicken teriyaki roll and thought the soft shell crab roll was okay .,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2]","[4, 4, 4, 4, 5, 5, 5, 5, 5]"
1002932,lovely,delightful,A lovely neighborhood vibe .,A delightful neighborhood vibe .,0,"[1, 1, 1, 2, 2, 2, 3, 3, 4, 4]","[2, 2, 2, 2, 3, 3, 3, 3, 4, 4]"
1002972,lovely,delightful,"The breakfast brunch daily was lovely with beautiful fresh fruits and breads , to order eggs , omelettes , pancakes and waffles and the best service ever from Rhonda !","The breakfast brunch daily was delightful with beautiful fresh fruits and breads , to order eggs , omelettes , pancakes and waffles and the best service ever from Rhonda !",0,"[2, 2, 2, 2, 3, 3, 3, 4, 5]","[1, 1, 1, 2, 2, 2, 2, 2, 3, 3]"
1002867,lovely,delightful,"Firey pillars mingled with a waterfall surrounding the wall of the patio , and the lovely AZ weather provided a perfect evening happy hour atmosphere !","Firey pillars mingled with a waterfall surrounding the wall of the patio , and the delightful AZ weather provided a perfect evening happy hour atmosphere !",0,"[1, 2, 2, 2, 2, 3, 3, 3, 4, 5]","[1, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
2715047,yummy,delightful,Seriously yummy PhÃ² !,Seriously delightful PhÃ² !,0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 5]","[1, 1, 2, 2, 2, 3, 3, 3, 4, 4]"
2714703,yummy,delightful,A nice Hawaiian spin on Chipotle/Qdoba-type burrito places ... very yummy !,A nice Hawaiian spin on Chipotle/Qdoba-type burrito places ... very delightful !,0,"[1, 2, 2, 2, 2, 2, 2, 3, 4, 5]","[2, 2, 2, 2, 2, 2, 2, 2, 3, 5]"
1268340,fabulous,unbelievable,I felt fabulous .,I felt unbelievable .,0,"[1, 2, 2, 2, 2, 2, 2, 2, 3, 3]","[2, 2, 2, 2, 3, 3, 3, 3, 3, 5]"
1268743,fabulous,unbelievable,Thank you so much for your great dogs and fabulous service !,Thank you so much for your great dogs and unbelievable service !,0,"[2, 2, 2, 3, 3, 3, 3, 3, 4, 4]","[2, 2, 3, 3, 3, 3, 4, 4, 4, 5]"
583389,yummy,delicious,Yummy yummy yummy !!,Yummy delicious delicious !!,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
583905,yummy,delicious,Our waitress was very nice and I loved that the owner came to our table after the meal with a complimentary fried dough dessert and shots of a yummy cinnamon drink that he made .,Our waitress was very nice and I loved that the owner came to our table after the meal with a complimentary fried dough dessert and shots of a delicious cinnamon drink that he made .,0,"[1, 1, 1, 2, 2, 2, 2, 2, 4, 4]","[1, 1, 1, 2, 2, 2, 3, 4, 4, 5]"
584824,yummy,delicious,"The bread was thin and toasty/crunchy and absorbed the yummy tomato topping , it was very light .","The bread was thin and toasty/crunchy and absorbed the delicious tomato topping , it was very light .",0,"[1, 1, 2, 2, 2, 3, 3, 4, 4]","[1, 2, 2, 2, 2, 2, 3, 3, 4]"
1544164,cute,attractive,Sup @user cute design !,Sup @user attractive design !,0,"[1, 1, 1, 1, 2, 2, 2, 3, 4]","[2, 2, 2, 2, 3, 3, 4, 5, 5]"
1544286,cute,attractive,Our server was cute and very friendly .,Our server was attractive and very friendly .,0,"[1, 1, 2, 3, 4, 4, 4, 4, 4, 5]","[3, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
1544013,cute,attractive,It is a cute little place off of 7th street & Osborn .,It is a attractive little place off of 7th street & Osborn .,0,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 5]","[2, 2, 2, 2, 3, 3, 3, 3, 4, 5]"
1650122,boyfriend,buddy,My boyfriend and I hopped a taxi to PH.,My buddy and I hopped a taxi to PH.,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 3]","[4, 4, 4, 5, 5, 5, 5, 5, 5, 5]"
1650512,boyfriend,buddy,"She did n't say it directly to me , but to point to your much older boyfriend and say the word `` a lot '' right when you 're sitting next to me -- not cool .","She did n't say it directly to me , but to point to your much older buddy and say the word `` a lot '' right when you 're sitting next to me -- not cool .",0,"[1, 1, 1, 2, 2, 2, 2, 4, 5, 5]","[1, 2, 2, 3, 4, 5, 5, 5, 5, 5]"
1650783,boyfriend,buddy,One time for a dine-in with my boyfriend and second time for a pick-up order .,One time for a dine-in with my buddy and second time for a pick-up order .,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[2, 4, 4, 4, 4, 5, 5, 5, 5, 5]"
2433637,lovely,terrific,The facility is lovely .,The facility is terrific .,0,"[1, 1, 2, 2, 2, 2, 3, 3, 4, 5]","[2, 2, 3, 3, 3, 3, 3, 3, 3, 5]"
2434118,lovely,terrific,30 min after the meal my husband was in the bathroom getting sick from the lovely dried out sliders he ate,30 min after the meal my husband was in the bathroom getting sick from the terrific dried out sliders he ate,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
441871,fabulous,terrific,NY Steamer and Engineer Subs are fabulous .,NY Steamer and Engineer Subs are terrific .,0,"[2, 2, 2, 3, 3, 3, 3, 3, 4, 5]","[2, 3, 3, 3, 3, 3, 3, 3, 4, 5]"
441725,fabulous,terrific,"Great wine , fabulous food , and terrific live music .","Great wine , terrific food , and terrific live music .",0,"[2, 2, 3, 3, 3, 3, 3, 4, 4]","[1, 2, 2, 3, 3, 3, 3, 4, 4, 4]"
442143,fabulous,terrific,This is the most fabulous place ever !,This is the most terrific place ever !,0,"[1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[1, 1, 2, 2, 2, 2, 2, 2, 3, 3]"
725407,fabulous,outstanding,The chips are fabulous !!!,The chips are outstanding !!!,0,"[1, 2, 2, 2, 2, 2, 3, 3, 3]","[3, 3, 3, 3, 3, 4, 4, 4, 5]"
725210,fabulous,outstanding,"Queso truck was fabulous , our 2nd time eating there , portions were big , Jose went out of his way to give great service and make sure we were happy w our food","Queso truck was outstanding , our 2nd time eating there , portions were big , Jose went out of his way to give great service and make sure we were happy w our food",0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 4]","[2, 2, 3, 3, 3, 4, 4, 4, 4, 5]"
725740,fabulous,outstanding,"The other team members helping her out were also amazing , had some great conversations with them and really felt welcome , comfortable and fabulous at the cabana .","The other team members helping her out were also amazing , had some great conversations with them and really felt welcome , comfortable and outstanding at the cabana .",0,"[2, 2, 2, 2, 2, 2, 3, 3, 3, 4]","[1, 2, 2, 2, 3, 3, 3, 3, 4, 5]"
1448859,gorgeous,terrific,"There are different bar areas , the waterfall is gorgeous !","There are different bar areas , the waterfall is terrific !",0,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 3]","[2, 2, 2, 2, 2, 3, 3, 3, 3, 5]"
1448564,gorgeous,terrific,The panoramic suite has large windows that has a gorgeous view of the strip and the guys and girls were able to stay in our separate rooms but also go in and out of each other 's rooms easily through the connecting doors .,The panoramic suite has large windows that has a terrific view of the strip and the guys and girls were able to stay in our separate rooms but also go in and out of each other 's rooms easily through the connecting doors .,0,"[1, 1, 2, 2, 2, 3, 3, 3, 4]","[1, 2, 2, 2, 3, 4, 4, 4, 4]"
1448834,gorgeous,terrific,"Once we faced the red rock canyon , I turned on my amazing ability of tuning out the rest of the world and focused on the gorgeous piece of art work mother nature gave us .","Once we faced the red rock canyon , I turned on my amazing ability of tuning out the rest of the world and focused on the terrific piece of art work mother nature gave us .",0,"[1, 2, 2, 2, 2, 2, 3, 3, 4, 4]","[1, 2, 2, 2, 2, 3, 3, 3, 4, 4]"
1533553,gorgeous,excellent,Really gorgeous restaurant .,Really excellent restaurant .,0,"[1, 1, 1, 2, 2, 2, 2, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 3, 3, 4, 5]"
1533603,gorgeous,excellent,"I came for my birthday on a 3 night comp ... my room was gorgeous , the bathroom was fit for a queen , and the service was excellent .","I came for my birthday on a 3 night comp ... my room was excellent , the bathroom was fit for a queen , and the service was excellent .",0,"[1, 1, 1, 1, 1, 1, 1, 2, 3, 4]","[1, 1, 1, 1, 1, 1, 1, 3, 3, 4]"
1872781,fabulous,excellent,The rolls are fabulous .,The rolls are excellent .,0,"[1, 2, 2, 2, 2, 2, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 4, 4, 5]"
1872972,fabulous,excellent,"All the reviews boasted the hot pots were fabulous , so we were excited to see those on the other tables .","All the reviews boasted the hot pots were excellent , so we were excited to see those on the other tables .",0,"[2, 2, 2, 2, 2, 3, 3, 4, 4, 4]","[1, 2, 3, 3, 3, 3, 3, 3, 3, 3]"
1872652,fabulous,excellent,We had a fabulous time .,We had a excellent time .,0,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 4]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 4]"
2301572,gorgeous,outstanding,"The hotel is gorgeous , its new and clean and beautiful ... the bad-check in took forever , we were there around 8am their time and they asked if we wanted to upgrade which we did but the jacuzzi tub jets didnt work ???","The hotel is outstanding , its new and clean and beautiful ... the bad-check in took forever , we were there around 8am their time and they asked if we wanted to upgrade which we did but the jacuzzi tub jets didnt work ???",0,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 4]","[1, 2, 2, 2, 2, 2, 3, 3, 3, 5]"
2301438,gorgeous,outstanding,"Anywhoo , hotel is gorgeous and clean .","Anywhoo , hotel is outstanding and clean .",0,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 4]","[2, 2, 2, 3, 3, 3, 3, 4, 4, 5]"
2465123,cute,excellent,The restaurant is cute with the Southern Bluesy feel .,The restaurant is excellent with the Southern Bluesy feel .,0,"[1, 1, 1, 1, 2, 2, 2, 2, 3]","[1, 2, 2, 3, 3, 3, 3, 4, 4, 5]"
2465665,cute,excellent,"I always love going to H&M because their clothes are super cute and have great prices but the lack of customer service makes it a downer because I really like this place in town square , it 's all set up great .","I always love going to H&M because their clothes are super excellent and have great prices but the lack of customer service makes it a downer because I really like this place in town square , it 's all set up great .",0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 4]","[1, 1, 2, 2, 2, 2, 2, 2, 3, 5]"
2465578,cute,excellent,Matt 's is a cute little breakfast place in downtown phoenix .,Matt 's is a excellent little breakfast place in downtown phoenix .,0,"[1, 1, 1, 2, 2, 2, 2, 3, 4, 4]","[3, 3, 3, 3, 3, 3, 4, 4, 4, 5]"
1650168,boyfriend,buddy,My boyfriend went crazy on restaurant.com and ordered gift certificates so we decided to give it a try .,My buddy went crazy on restaurant.com and ordered gift certificates so we decided to give it a try .,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 4]","[4, 4, 4, 4, 4, 4, 4, 5, 5, 5]"
1650786,boyfriend,buddy,"My boyfriend and I shared the pork belly poutine and the summer dinner : a tomato bisque , shrimp penne , and strawberry crisp dessert .","My buddy and I shared the pork belly poutine and the summer dinner : a tomato bisque , shrimp penne , and strawberry crisp dessert .",0,"[1, 1, 1, 1, 1, 1, 1, 2, 2]","[4, 4, 4, 5, 5, 5, 5, 5, 5, 5]"
1650686,boyfriend,buddy,Then my boyfriend was referred by insurance to other place that he could hardly find .,Then my buddy was referred by insurance to other place that he could hardly find .,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 4]","[4, 4, 4, 4, 4, 4, 4, 5, 5, 5]"
1448841,gorgeous,terrific,It 's gorgeous inside so I usually end up taking a bunch of pictures .,It 's terrific inside so I usually end up taking a bunch of pictures .,0,"[1, 1, 1, 1, 2, 2, 2, 2, 4, 4]","[1, 1, 2, 2, 2, 3, 3, 3, 3, 4]"
1448874,gorgeous,terrific,"She really goes above and beyond to make sure we 're happy with our purchase and find something I really love , and the jewelry itself is gorgeous .","She really goes above and beyond to make sure we 're happy with our purchase and find something I really love , and the jewelry itself is terrific .",0,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 3]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 3]"
1448702,gorgeous,terrific,The pool/lounge area is gorgeous !,The pool/lounge area is terrific !,0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 3, 3, 3, 3, 3, 4, 4, 5]"
442062,fabulous,terrific,Beer prices are very good for going out and the fish and chips is fabulous !,Beer prices are very good for going out and the fish and chips is terrific !,0,"[1, 2, 2, 2, 2, 3, 4, 4, 4, 5]","[3, 3, 4, 4, 4, 4, 4, 4, 4, 5]"
442041,fabulous,terrific,"Our waiter was fabulous , explaining everything on the menu , going over all of the specials in cocktails explaining everything in detail .","Our waiter was terrific , explaining everything on the menu , going over all of the specials in cocktails explaining everything in detail .",0,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 3, 3, 3, 4, 4]"
725315,fabulous,outstanding,"The upgrades are fabulous , especially the splash pad and children 's playground area on the NE side of the park .","The upgrades are outstanding , especially the splash pad and children 's playground area on the NE side of the park .",0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 4]","[1, 1, 1, 2, 2, 2, 2, 2, 2, 3]"
725533,fabulous,outstanding,"soup or salad came before your meal ( check out the mushroom soup the best I 've ever had ) my husband had the nites special veal raviola & short rib cannelloni & I had the seafood fradiavolo , both were fabulous .","soup or salad came before your meal ( check out the mushroom soup the best I 've ever had ) my husband had the nites special veal raviola & short rib cannelloni & I had the seafood fradiavolo , both were outstanding .",0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3]"
725298,fabulous,outstanding,I met my friends last night for a dinner party ... company was fabulous :) I was the 4th person to show up and noticed that my other 3 friends got a table for 4 .,I met my friends last night for a dinner party ... company was outstanding :) I was the 4th person to show up and noticed that my other 3 friends got a table for 4 .,0,"[1, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[1, 2, 2, 2, 2, 2, 3, 3, 4, 5]"
1872818,fabulous,excellent,"By the way , the crab rangoun appetizers - fabulous .","By the way , the crab rangoun appetizers - excellent .",0,"[1, 2, 2, 2, 2, 2, 3, 3, 4]","[1, 2, 3, 3, 3, 3, 3, 3, 4, 4]"
1872682,fabulous,excellent,I left looking and feeling fabulous they took all the struggle out of taking care of my hair even scheduled my next appointment for me and kept records on my hair color / highlights for next time !,I left looking and feeling excellent they took all the struggle out of taking care of my hair even scheduled my next appointment for me and kept records on my hair color / highlights for next time !,0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 4]"
1872770,fabulous,excellent,Everywhere we went was not only fabulous but inexpensive !,Everywhere we went was not only excellent but inexpensive !,0,"[1, 1, 2, 2, 2, 2, 3, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 3, 4, 4, 5]"
2433900,lovely,terrific,"Decor was lovely , ambiance superb , service excellent , music tasteful .","Decor was terrific , ambiance superb , service excellent , music tasteful .",0,"[1, 1, 2, 2, 2, 2, 3, 3, 4]","[1, 1, 1, 2, 2, 3, 4, 4, 4, 4]"
2433772,lovely,terrific,") , but lovely ambience and awesome food !",") , but terrific ambience and awesome food !",0,"[1, 2, 2, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 2, 2, 3, 3, 4, 4, 4, 5]"
2465942,cute,excellent,The interior looked like a cute old candy shop .,The interior looked like a excellent old candy shop .,0,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 2, 2, 2, 2, 3, 3, 4, 5]"
